SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203	29.895601918756203
10.0	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542	30.552865169317542
15.0	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618	22.745427645080618
20.0	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372	15.311687567169372
25.0	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768	9.015028330651768
30.0	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055	8.95259809993055
35.0	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392	6.891679606422392
40.0	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333	4.0955453247333
45.0	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557	3.8689462934765557
50.0	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911	1.7952286385927911
