SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493	29.802214738769493
10.0	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563	29.708776820313563
15.0	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998	20.9269147696998
20.0	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206	14.497490561751206
25.0	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054	10.16157223271054
30.0	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722	7.664515609299722
35.0	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735	6.238719954260735
40.0	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445	4.5456836635890445
45.0	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735	3.540856892834735
50.0	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302	2.7924939826193302
