Photon Density 	W_0	Energy(mJ)
4.115787890293033	5.0	100.0080756
4.437678228333657	6.0	100.00807559999997
3.7111087599911112	7.0	100.00807559999997
3.562334030729178	8.0	100.00807559999997
3.7148543713214055	9.0	100.00807559999997
3.876504539335226	10.0	100.0080756
3.9769162190400307	11.0	100.00807559999997
3.687574414014344	12.0	100.00807559999997
3.720879818426887	13.0	100.0080756
3.5462241160037298	14.0	100.00807559999997
3.679962863795072	15.0	100.00807559999997
3.5277060908745472	16.0	100.00807559999997
3.5815981396941914	17.0	100.0080756
3.535677486128421	18.0	100.00807559999997
3.5062415607524025	19.0	100.00807559999997
3.556591737199915	20.0	100.0080756
