SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	185.4869986730173	174.96841707097462	176.6267958504727	218.6770094750478	202.61393326138423	230.55528704071511	158.16474830611776	202.52453942000872	139.90064833040412	202.6448345314791
10.0	55.28115262084607	61.11123583678153	53.138928937400756	60.97754323830335	61.21117892039144	59.64155831568443	51.2564926232107	46.97557966067665	70.4732276299192	64.73388445939601
15.0	35.87528915339981	29.407491185839614	26.716534957379604	23.3994051046632	37.05209930356113	26.303908348344883	26.525468570536095	31.545350149667	32.709434127037476	25.556396678140025
20.0	13.88327081287256	13.095244183840467	16.17211738708167	12.729549347648994	19.017327652982015	14.86274899777314	11.564766497170856	13.512093400418745	13.943565904499314	10.073583251011808
25.0	12.694945963007283	8.939838021563265	12.115432204905812	9.954497165159015	8.962419654602284	10.632038258339753	9.40788106063012	9.336749765582018	6.944215663379871	9.534220239166357
30.0	6.958197855770706	7.188318977934239	9.353115379949259	7.507453735195394	7.307802550921471	7.150298297047028	7.483791714696144	6.496856338258827	6.560499977536646	7.073519340410381
35.0	5.074402459078085	5.287550475473319	5.24621235198154	4.310600928420529	4.737571549522287	5.312205426469066	5.443963916515244	4.713779020637999	5.657286917253433	5.557843709772157
40.0	4.0615086130765645	4.80348902709619	3.658742737286879	4.36203679387363	2.8815953021357634	2.929318233425841	5.4796313756827955	5.079301146100574	3.743603152062468	4.513833519682617
45.0	2.5334091096656715	2.932930579982835	3.3139078348281097	2.9658624940617635	3.330067360305936	3.2694458734587473	3.4259660097202445	2.373275237900424	2.927176649919192	3.0520731008254316
50.0	3.0329270765158953	2.6391556037048987	2.332968197094702	2.374108265056941	2.7433083156117064	2.8256378010579777	3.1431805110173134	2.3760293600756675	2.2537333570076177	2.542647299035818
