SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	202.79849450245405	189.90217030336333	198.93993501492076	202.133324327126	209.71294712852992	184.51942183583145	215.10783035836948	189.40771681195145	199.868208588102	209.4211861976072
10.0	61.601306551643866	60.37220834315422	63.25559482100298	57.08162374150429	57.71695581864837	55.71934574120204	56.139860134434564	57.21366948587695	63.3349647237344	60.727308867719906
15.0	29.886042648554636	27.32179258618493	28.007197724589542	27.385238556229076	29.357702965859882	27.172074113050506	27.852917282371276	28.598460436107104	26.254204042326748	27.03449668609811
20.0	16.416409812484325	14.98278185804939	16.780700050718657	15.451542460122711	16.291793340766713	14.678119365704896	15.38389762441524	16.213939572395866	14.98196455566814	15.636745857484629
25.0	10.139356172752363	10.165706179040443	10.428629829208687	10.126399008196648	10.123059000590363	9.759189334389868	10.147198179841261	10.609817346790177	10.67607421212839	9.808994654131052
30.0	7.261687619325207	6.860935331614288	6.779854797309838	7.06502084297027	6.602946257124088	7.278799644974237	6.94148635042827	7.0465628448273385	6.9703793475566185	7.0559849259130525
35.0	4.795726991589368	4.766536338910314	5.049739644385852	5.294966612492922	5.09263632601288	5.68362090872147	5.46252411004778	5.394447480592011	5.406241653832755	5.377675854486378
40.0	3.8198343635627565	3.8677324390200734	3.9705168265738444	3.9959159281313705	4.195080256002516	4.013227553319887	4.105043242475672	4.154538080761112	3.7580399137005904	4.2471937842215794
45.0	3.176097730647984	2.945414368601092	2.9909608265687253	3.1433800823457894	3.202069254883423	3.0271495047135457	3.053594213402266	2.9634827737091545	3.012004459279947	3.119591768689505
50.0	2.610899078578873	2.605189129917473	2.4955743823186785	2.5804825978128214	2.653346114339791	2.515134311408954	2.6094980022476872	2.542974883799668	2.429932265435655	2.4162664132991
