Photon Density 	W_0	Energy(mJ)
2.8083824618609765	5.0	100.0080756
5.975108995147213	6.0	100.00807559999997
3.5296203949390947	7.0	100.00807559999997
3.8838668871928186	8.0	100.00807559999997
4.158173153765977	9.0	100.00807559999997
3.3741856142771787	10.0	100.0080756
4.002198735654603	11.0	100.00807559999997
3.798542235034193	12.0	100.00807559999997
4.183266692447973	13.0	100.0080756
3.4522296938618724	14.0	100.00807559999997
4.290864640903295	15.0	100.00807559999997
4.247800967458284	16.0	100.00807559999997
3.6690093057685402	17.0	100.0080756
2.982529953361495	18.0	100.00807559999997
3.5221427254662365	19.0	100.00807559999997
4.204566127392889	20.0	100.0080756
