Photon Density 	W_0	Energy(mJ)
0.46298301934030367	5.0	100.0080756
0.7272118124438421	6.0	100.00807559999997
0.45367357567009997	7.0	100.00807559999997
0.6072612606760501	8.0	100.00807559999997
0.6719597050068352	9.0	100.00807559999997
0.5865465653889328	10.0	100.0080756
0.5883176218564181	11.0	100.00807559999997
0.7181659871792753	12.0	100.00807559999997
0.6568765752700864	13.0	100.0080756
0.7389754904106098	14.0	100.00807559999997
0.6251499905658134	15.0	100.00807559999997
0.6071428487485877	16.0	100.00807559999997
0.7213472694039009	17.0	100.0080756
0.6662931281024935	18.0	100.00807559999997
0.6500297014927301	19.0	100.00807559999997
0.6439689608321257	20.0	100.0080756
