Energy(eV)+1j*SigmaT (microns) 	Weights
(8297738107.231445+10j)	(6.603399947516072+0j)
(8214172343.8431835+10j)	(6.603399947516072+0j)
(8303155147.267092+10j)	(6.603399947516072+0j)
(8334857604.855068+10j)	(7.095914136436608+0j)
(8322487669.476866+10j)	(7.095914136436608+0j)
(8024074891.754021+10j)	(7.095914136436608+0j)
(8238417170.628162+10j)	(7.095914136436608+0j)
(8171690480.292435+10j)	(7.095914136436608+0j)
(8066496344.8278675+10j)	(7.095914136436608+0j)
(8159225692.063831+10j)	(7.095914136436608+0j)
(8213745153.780943+10j)	(7.095914136436608+0j)
(8339100770.350818+10j)	(7.095914136436608+0j)
(8036899535.511614+10j)	(7.095914136436608+0j)
(8348171267.721582+10j)	(7.095914136436608+0j)
(8241846447.972517+10j)	(7.095914136436608+0j)
(8145483408.740535+10j)	(7.095914136436608+0j)
(7716202598.668091+10j)	(6.841907288535247+0j)
(7846445664.734396+10j)	(6.841907288535247+0j)
(8391923799.681573+10j)	(6.841907288535247+0j)
(8344347642.574607+10j)	(6.841907288535247+0j)
(8348395110.446459+10j)	(6.841907288535247+0j)
(8226058727.706726+10j)	(6.841907288535247+0j)
(8156813769.177771+10j)	(6.841907288535247+0j)
(7957647538.524645+10j)	(6.841907288535247+0j)
(7479128141.706223+10j)	(6.841907288535247+0j)
(8385879570.200251+10j)	(6.841907288535247+0j)
(8033860381.695625+10j)	(6.841907288535247+0j)
(8305048741.579712+10j)	(6.841907288535247+0j)
(8057567891.361988+10j)	(6.841907288535247+0j)
(8311891763.2813225+10j)	(6.841907288535247+0j)
(8351534931.511662+10j)	(6.841907288535247+0j)
(7990903310.256277+10j)	(7.06666831988307+0j)
(8169704236.660429+10j)	(7.06666831988307+0j)
(8170517781.257193+10j)	(7.06666831988307+0j)
(8316083116.526187+10j)	(7.06666831988307+0j)
(8111727384.975424+10j)	(7.06666831988307+0j)
(8330170107.7846575+10j)	(7.06666831988307+0j)
(7776823335.732808+10j)	(7.06666831988307+0j)
(8093422652.008638+10j)	(7.06666831988307+0j)
(8298197227.296064+10j)	(7.06666831988307+0j)
(7502579950.810913+10j)	(7.06666831988307+0j)
(8220744996.6756935+10j)	(7.06666831988307+0j)
(8269869894.732195+10j)	(6.946067720357567+0j)
(8003511354.288637+10j)	(6.946067720357567+0j)
(8393305478.488417+10j)	(6.946067720357567+0j)
(7409709507.495753+10j)	(6.946067720357567+0j)
(8375039711.866755+10j)	(6.946067720357567+0j)
(8284389056.325697+10j)	(6.946067720357567+0j)
(7815606266.945131+10j)	(6.946067720357567+0j)
(8305215510.158735+10j)	(6.946067720357567+0j)
(8257610546.451048+10j)	(6.946067720357567+0j)
(8094880869.391946+10j)	(6.946067720357567+0j)
(8362186789.59539+10j)	(6.946067720357567+0j)
(8340883350.8729515+10j)	(6.946067720357567+0j)
(8178408556.289907+10j)	(6.946067720357567+0j)
(8200509592.616638+10j)	(6.946067720357567+0j)
(8250292893.817793+10j)	(6.919646256741712+0j)
(8345340063.709345+10j)	(6.919646256741712+0j)
(8330892045.428862+10j)	(6.919646256741712+0j)
(7886098081.371408+10j)	(6.919646256741712+0j)
(8351535411.911742+10j)	(6.919646256741712+0j)
(8311389312.210097+10j)	(6.919646256741712+0j)
(8220514117.70405+10j)	(6.919646256741712+0j)
(8305327424.343514+10j)	(6.919646256741712+0j)
(7637620891.342761+10j)	(6.919646256741712+0j)
(8004884841.017506+10j)	(6.919646256741712+0j)
(7978085292.847406+10j)	(6.97652079286416+0j)
(8078425905.662533+10j)	(6.97652079286416+0j)
(8194467178.509449+10j)	(6.97652079286416+0j)
(8371192107.734132+10j)	(6.97652079286416+0j)
(8364751433.350433+10j)	(6.97652079286416+0j)
(8193277764.885445+10j)	(6.97652079286416+0j)
(7975996030.860664+10j)	(6.97652079286416+0j)
(8221945179.708998+10j)	(6.97652079286416+0j)
(8331569805.004723+10j)	(6.97652079286416+0j)
(8296188361.283617+10j)	(6.97652079286416+0j)
(7842492315.811067+10j)	(6.97652079286416+0j)
(8388198696.552256+10j)	(7.1634336723317595+0j)
(8319263687.420231+10j)	(7.1634336723317595+0j)
(8327173101.834638+10j)	(7.1634336723317595+0j)
(8345460305.4490385+10j)	(7.1634336723317595+0j)
(8373047988.169176+10j)	(7.1634336723317595+0j)
(8348754577.223934+10j)	(7.1634336723317595+0j)
(8359579150.411182+10j)	(7.1634336723317595+0j)
(8214320031.739283+10j)	(7.1634336723317595+0j)
(8385029277.690113+10j)	(7.1634336723317595+0j)
(7905514557.308214+10j)	(7.1634336723317595+0j)
(8114978378.18004+10j)	(7.1634336723317595+0j)
(8334025929.889557+10j)	(7.1634336723317595+0j)
(8296255923.213412+10j)	(7.1634336723317595+0j)
(7948339850.06724+10j)	(7.1634336723317595+0j)
(8325092900.904419+10j)	(7.1634336723317595+0j)
(8353110917.476706+10j)	(6.816961167010174+0j)
(8223622986.970484+10j)	(6.816961167010174+0j)
(7954493979.1839905+10j)	(6.816961167010174+0j)
(8367314053.316008+10j)	(6.816961167010174+0j)
(8136384848.273849+10j)	(6.816961167010174+0j)
(8172366436.733158+10j)	(6.816961167010174+0j)
(8267652820.462511+10j)	(6.816961167010174+0j)
(8107722967.613321+10j)	(6.816961167010174+0j)
(8151526215.004569+10j)	(6.816961167010174+0j)
(8281942781.48798+10j)	(6.816961167010174+0j)
(8167432217.307249+10j)	(6.816961167010174+0j)
(8191349673.911732+10j)	(6.987598599258201+0j)
(8370960408.4561405+10j)	(6.987598599258201+0j)
(8334150867.639797+10j)	(6.987598599258201+0j)
