Energy(eV)+1j*SigmaT (microns) 	Weights
(8168926469.547352+5j)	(7.140769020490945+0j)
(7749454384.404758+5j)	(7.140769020490945+0j)
(7405515405.385876+5j)	(7.140769020490945+0j)
(8356004204.20311+5j)	(7.140769020490945+0j)
(8280729060.102143+5j)	(7.140769020490945+0j)
(8345489839.476818+5j)	(7.140769020490945+0j)
(7299685804.182171+5j)	(7.140769020490945+0j)
(7975046939.770719+5j)	(7.140769020490945+0j)
(8285733635.738172+5j)	(7.140769020490945+0j)
(7727381590.845936+5j)	(7.140769020490945+0j)
(7873604553.40262+5j)	(7.140769020490945+0j)
(7594108843.056861+5j)	(7.140769020490945+0j)
(8327389863.775335+5j)	(7.140769020490945+0j)
(8355540986.146057+5j)	(7.140769020490945+0j)
(8248137036.674864+5j)	(7.140769020490945+0j)
(7681429757.990571+5j)	(7.140769020490945+0j)
(7831340207.103166+5j)	(7.140769020490945+0j)
(7651463491.110373+5j)	(7.140769020490945+0j)
(8126074300.259592+5j)	(7.140769020490945+0j)
(8292432228.49311+5j)	(7.140769020490945+0j)
(8065689138.401981+5j)	(7.140769020490945+0j)
(6299980126.06018+5j)	(7.140769020490945+0j)
(7514328384.990809+5j)	(7.140769020490945+0j)
(7582676476.967415+5j)	(7.140769020490945+0j)
(8112266896.272255+5j)	(7.140769020490945+0j)
(7338272732.891443+5j)	(7.140769020490945+0j)
(8293284101.48278+5j)	(7.140769020490945+0j)
(7285711148.990784+5j)	(7.140769020490945+0j)
(7857486400.730265+5j)	(7.140769020490945+0j)
(8331410322.804323+5j)	(7.140769020490945+0j)
(8292254614.641314+5j)	(7.140769020490945+0j)
(8290299343.037795+5j)	(7.140769020490945+0j)
(7795777545.345446+5j)	(7.140769020490945+0j)
(8106592808.17569+5j)	(7.140769020490945+0j)
(8312772586.169388+5j)	(7.140769020490945+0j)
(8153070040.682845+5j)	(7.140769020490945+0j)
(7792882699.621029+5j)	(7.140769020490945+0j)
(8301168221.15946+5j)	(7.140769020490945+0j)
(8324048247.5555+5j)	(7.140769020490945+0j)
(8153638471.081066+5j)	(7.140769020490945+0j)
(7627663802.37825+5j)	(7.140769020490945+0j)
(8237203606.881208+5j)	(7.140769020490945+0j)
(8365237744.396139+5j)	(7.140769020490945+0j)
(7699047531.684929+5j)	(7.140769020490945+0j)
(7355569400.99334+5j)	(7.140769020490945+0j)
(8350381481.608767+5j)	(7.140769020490945+0j)
(8340216637.471407+5j)	(7.140769020490945+0j)
(8239724009.372322+5j)	(7.140769020490945+0j)
(7608613126.036421+5j)	(7.140769020490945+0j)
(7504500429.780745+5j)	(7.140769020490945+0j)
(8078180688.622175+5j)	(7.140769020490945+0j)
(7890516061.616565+5j)	(7.140769020490945+0j)
(7980570807.944158+5j)	(7.140769020490945+0j)
(8240325726.725219+5j)	(7.140769020490945+0j)
(7450710091.586977+5j)	(7.140769020490945+0j)
(8243912023.919601+5j)	(7.140769020490945+0j)
(7789666682.628086+5j)	(7.140769020490945+0j)
(7807041223.910435+5j)	(7.140769020490945+0j)
(8183403165.698992+5j)	(7.140769020490945+0j)
(8356010769.003323+5j)	(7.140769020490945+0j)
(7326711106.172752+5j)	(7.140769020490945+0j)
(7772348623.573023+5j)	(7.140769020490945+0j)
(7205908737.558388+5j)	(7.140769020490945+0j)
(8176673638.365943+5j)	(7.140769020490945+0j)
(8266491470.6086235+5j)	(7.140769020490945+0j)
(6498533943.63635+5j)	(7.140769020490945+0j)
(7154300564.609898+5j)	(7.140769020490945+0j)
(8340619797.446575+5j)	(7.140769020490945+0j)
(8175627816.582256+5j)	(7.140769020490945+0j)
(7784934964.82411+5j)	(7.140769020490945+0j)
(7747672069.675573+5j)	(7.140769020490945+0j)
(7718046041.166483+5j)	(7.140769020490945+0j)
(8328491825.683964+5j)	(7.140769020490945+0j)
(8225093419.182494+5j)	(7.140769020490945+0j)
(7998618344.212532+5j)	(7.140769020490945+0j)
(8284723116.577138+5j)	(7.140769020490945+0j)
(8226749364.991681+5j)	(7.140769020490945+0j)
(8133955434.4313755+5j)	(7.140769020490945+0j)
(7316255582.475109+5j)	(7.140769020490945+0j)
(8016658676.157249+5j)	(7.140769020490945+0j)
(8137412127.514923+5j)	(7.140769020490945+0j)
(8294462075.252081+5j)	(7.140769020490945+0j)
(6705990809.956919+5j)	(7.140769020490945+0j)
(8237514599.737549+5j)	(7.140769020490945+0j)
(7222014929.217432+5j)	(7.140769020490945+0j)
(8271926141.360017+5j)	(7.140769020490945+0j)
(6442949022.394984+5j)	(7.140769020490945+0j)
(7974081705.391415+5j)	(7.140769020490945+0j)
(8309293576.598053+5j)	(7.140769020490945+0j)
(7523184635.280657+5j)	(7.140769020490945+0j)
(6896908831.122832+5j)	(7.140769020490945+0j)
(8299205157.735233+5j)	(7.140769020490945+0j)
(8090216140.269808+5j)	(7.140769020490945+0j)
(7782384985.320309+5j)	(7.140769020490945+0j)
(7852834015.585588+5j)	(7.140769020490945+0j)
(8303778218.922203+5j)	(7.140769020490945+0j)
(8323594074.45861+5j)	(7.140769020490945+0j)
(8274638304.716703+5j)	(7.140769020490945+0j)
(8131062373.311464+5j)	(7.140769020490945+0j)
(7690014520.317175+5j)	(7.140769020490945+0j)
(7321044437.638403+5j)	(7.140769020490945+0j)
(8045074341.544897+5j)	(7.140769020490945+0j)
(8139906326.224731+5j)	(7.140769020490945+0j)
(8266487373.002325+5j)	(7.140769020490945+0j)
(7814833366.425907+5j)	(7.140769020490945+0j)
(7872996041.092535+5j)	(7.140769020490945+0j)
(7569490436.426093+5j)	(7.140769020490945+0j)
(7458192173.29578+5j)	(7.140769020490945+0j)
(7834032775.553201+5j)	(7.140769020490945+0j)
(8201058430.759304+5j)	(7.140769020490945+0j)
(8009354174.001322+5j)	(7.140769020490945+0j)
(7388823887.807177+5j)	(7.140769020490945+0j)
(7511101691.538243+5j)	(7.140769020490945+0j)
(8260206683.2283535+5j)	(7.140769020490945+0j)
(6853869771.376116+5j)	(7.140769020490945+0j)
(8141342767.145859+5j)	(7.140769020490945+0j)
(7976484867.155859+5j)	(7.140769020490945+0j)
(8076476834.143193+5j)	(7.140769020490945+0j)
(7247256504.158373+5j)	(7.140769020490945+0j)
(8347035972.365509+5j)	(7.140769020490945+0j)
(8018400581.876858+5j)	(7.140769020490945+0j)
(8024505606.7764225+5j)	(7.140769020490945+0j)
(7366239160.993888+5j)	(7.140769020490945+0j)
(8117713042.991308+5j)	(7.140769020490945+0j)
(8348927462.935403+5j)	(7.140769020490945+0j)
(8142696691.933997+5j)	(7.140769020490945+0j)
(8172579199.424149+5j)	(7.140769020490945+0j)
(6915426127.94166+5j)	(7.140769020490945+0j)
(7750822888.750187+5j)	(7.140769020490945+0j)
(7715939148.629808+5j)	(7.140769020490945+0j)
(8025422164.733383+5j)	(7.140769020490945+0j)
(7893895649.947248+5j)	(7.140769020490945+0j)
(7836166633.865477+5j)	(7.140769020490945+0j)
(6795702100.816099+5j)	(7.140769020490945+0j)
(8368104920.13073+5j)	(7.140769020490945+0j)
(8155910883.041109+5j)	(7.140769020490945+0j)
(7325291995.5138645+5j)	(7.140769020490945+0j)
(7764184430.217222+5j)	(7.140769020490945+0j)
(7879857497.311302+5j)	(7.140769020490945+0j)
(8051643881.900144+5j)	(7.140769020490945+0j)
(7485397512.498721+5j)	(7.140769020490945+0j)
(7911930514.928538+5j)	(7.140769020490945+0j)
(7372438088.664717+5j)	(7.140769020490945+0j)
