Photon Density 	W_0	Energy(mJ)
0.0	5.0	100.0080756
2.2753762280431116	6.0	100.00807559999997
0.5781599449754521	7.0	100.00807559999997
0.4597121979479663	8.0	100.00807559999997
1.136644808892639	9.0	100.00807559999997
0.29113023340975414	10.0	100.0080756
0.23639610364601457	11.0	100.00807559999997
0.21421297391670488	12.0	100.00807559999997
0.6872330096947913	13.0	100.0080756
0.7631773132594882	14.0	100.00807559999997
0.662238894304562	15.0	100.00807559999997
0.8183853360595121	16.0	100.00807559999997
0.625633599084528	17.0	100.0080756
0.8339813137495292	18.0	100.00807559999997
0.9395308900741015	19.0	100.00807559999997
0.7084668806205299	20.0	100.0080756
