Photon Density 	W_0	Energy(mJ)
0.6369560185723828	5.0	100.0080756
0.797504794431592	6.0	100.00807559999997
0.4228243601208884	7.0	100.00807559999997
0.9641004838965667	8.0	100.00807559999997
0.5792199285641098	9.0	100.00807559999997
0.5508445657887918	10.0	100.0080756
0.5757830309286852	11.0	100.00807559999997
0.4064211629071876	12.0	100.00807559999997
0.63863958857781	13.0	100.0080756
0.6294118270353671	14.0	100.00807559999997
0.5500216683883239	15.0	100.00807559999997
0.7623000073464132	16.0	100.00807559999997
0.7377962904621566	17.0	100.0080756
0.5737101322774177	18.0	100.00807559999997
0.6382128616262737	19.0	100.00807559999997
0.6640829565903983	20.0	100.0080756
