SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028	183.92488895608028
10.0	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542	59.24531047377542
15.0	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049	28.44876719433049
20.0	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802	16.119746278517802
25.0	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388	10.31932090460388
30.0	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614	6.965186353308614
35.0	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764	5.248397591068764
40.0	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147	3.9197065800807147
45.0	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347	3.3063024828933347
50.0	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058	2.468973907217058
