SigmaT+W0	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
5.0	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587	220.59157682880587
10.0	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803	66.95601990378803
15.0	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458	29.530471241428458
20.0	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077	14.679156214183077
25.0	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585	10.973630349925585
30.0	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111	7.492180050114111
35.0	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432	6.309632459306432
40.0	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158	4.802464476069158
45.0	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555	3.770598615129555
50.0	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023	2.1907640919441023
