Photon Density 	W_0	Energy(mJ)
0.5115978881345182	5.0	100.0080756
1.4036970814090344	6.0	100.00807559999997
1.7368010952085369	7.0	100.00807559999997
1.3292180268658653	8.0	100.00807559999997
0.5387734743928873	9.0	100.00807559999997
0.45009130548215953	10.0	100.0080756
0.8647649683737566	11.0	100.00807559999997
0.48495589574614406	12.0	100.00807559999997
0.38960297961117785	13.0	100.0080756
0.7757059928797996	14.0	100.00807559999997
0.5109355307708412	15.0	100.00807559999997
0.3608876429685022	16.0	100.00807559999997
0.45101906807884834	17.0	100.0080756
0.5820931052562331	18.0	100.00807559999997
0.7281864295589351	19.0	100.00807559999997
0.4460177120174884	20.0	100.0080756
