Photon Density 	SigmaT	Energy(GeV)
6.760888605490019	5.0	73375051.67660837
2.3133916776956363	10.0	73375051.67660837
1.050837454400772	15.0	73375051.67660835
0.6218031164240194	20.0	73375051.67660837
0.3895284288137397	25.0	73375051.67660834
0.29760328516592205	30.0	73375051.67660835
0.19459477011814963	35.0	73375051.67660835
0.1530622831450739	40.0	73375051.67660837
0.1286329714474133	45.0	73375051.67660835
0.10347990711100867	50.0	73375051.67660834
