Photon Density 	W_0	Energy(mJ)
0.0	5.0	100.0080756
1.3279460629618483	6.0	100.00807559999997
0.6379498527698498	7.0	100.00807559999997
0.8044508678130518	8.0	100.00807559999997
0.5417657736521577	9.0	100.00807559999997
0.3274577694643393	10.0	100.0080756
0.25985350059848716	11.0	100.00807559999997
0.4486913876763727	12.0	100.00807559999997
0.43670937828910933	13.0	100.0080756
0.6074799653326519	14.0	100.00807559999997
0.6703152688596777	15.0	100.00807559999997
0.6732988912083913	16.0	100.00807559999997
0.904862795870327	17.0	100.0080756
0.6708459179224996	18.0	100.00807559999997
0.6449328414128815	19.0	100.00807559999997
0.6135555046136744	20.0	100.0080756
