Spotsize(microns)	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 	Photon Density 
2.0	12.43030284963063	11.816452647992278	12.527209130068426	13.919678594096672	9.563233968789731	11.070079949590573	15.623121314831957	7.003696642053342	9.495692272395969	10.013110145096887
3.0	9.664804096134423	10.4583869577447	10.983490370630166	11.116113388085822	9.791635918725126	9.641937520830053	12.930322727451207	9.828634095346217	10.360254736758167	10.62958124566633
4.0	11.72205584611253	11.143483364104485	10.626608155155592	10.248062615966862	9.790926778656198	10.086504100013306	11.794281542387816	10.672239044581207	10.603047445175598	10.621263135824176
5.0	10.552372322542423	10.486219164176534	9.664166456033671	9.696926200436984	9.905751570601344	10.1213996947064	11.367032761291895	10.726902703369145	10.790560408596253	9.843094732293219
6.0	9.972401397692893	10.10134804536336	9.696101932712045	9.769898062913933	10.114760473454737	10.162947086871688	10.90761853602408	10.240209641790743	10.412887924084334	9.955758372734042
7.0	10.491404657383763	10.232447560109025	10.118730482576101	10.011881749399432	10.175312465658397	10.338180696208783	10.514640397964211	11.132851418369816	10.32309221425053	10.01851686485745
8.0	10.564321659175503	9.905439849100713	10.209928090817822	9.961510814454634	10.314887334837772	10.281084610407063	10.840316424881651	11.013144374226002	10.340108558558947	10.31878523516224
9.0	10.557238629708205	9.660989946015889	10.350443785582703	9.815458746737614	9.962826133528631	10.21787073819081	10.518425761424783	10.408672889371026	10.267768134867651	10.188989939537842
10.0	10.392676532562447	9.925152854098892	10.517865893045235	9.691962374382227	10.046289252427597	10.068570202766525	10.520337285562224	10.405577920138683	10.417760078913414	10.262586215906166
11.0	10.196822107887261	10.281265176396062	10.771542061393863	9.799758130443985	9.927500553192484	9.970615421335898	10.293351183958176	10.183307263074207	10.647363365214034	10.185342526392446
12.0	10.126010603053297	10.122754872037753	10.65834928937043	9.850846632599213	10.02405759887424	10.173911797493561	10.165203746618634	10.397793093699798	10.49157899499498	10.35802984995936
13.0	10.137890087714819	10.226736883365867	10.636120094093624	10.059682733101644	9.980297789638076	9.999724992733949	10.177155391399408	10.279145894557454	10.366505205001017	10.299798553890154
14.0	10.19653469674829	9.985521792940855	10.618661848446914	10.04884560209172	9.806620031192232	10.017177664412474	10.101796862171325	10.232208746208034	10.360128553258091	10.125463517457765
15.0	10.069352186576808	9.939548643076021	10.56198066228009	10.143794733236636	9.72787182337652	10.00181350939416	10.321384837270365	10.217583008184022	10.333019227409366	10.337026500907974
16.0	9.856668603840726	9.945958249724445	10.528476907430441	10.217417684847694	9.795809777461384	9.996684361383405	10.437202540754281	10.27927266037455	10.40134000071871	10.312229358536813
17.0	9.919789172719545	9.925271772007447	10.385693855125746	10.255081039336297	9.812044960008144	9.968606453376529	10.371847223282492	10.355426153947542	10.250717767170416	10.273046332460073
18.0	9.986919148775364	10.027793351134752	10.401636071319171	10.223184568098622	9.850278968344151	9.878288650523928	10.347655418778553	10.32209330678141	10.241386033123694	10.243648529723083
19.0	10.067935538358748	10.040001313319735	10.405792089673412	10.296402451223743	9.782032128915288	9.905043541755461	10.438347243526495	10.32221075119286	10.124534122610665	10.247082222729805
20.0	9.885901820158837	9.991308529131802	10.347269172842068	10.326746525896759	9.80607419082785	10.039087097841309	10.378238904319131	10.316043023368742	10.19354112959604	9.999027870577985
21.0	9.857707941976319	9.899960281938593	10.225993866807933	10.297976812122446	9.9204654007075	10.00725797953495	10.364426675148579	10.38828504129736	10.250863145121544	9.888529225635478
22.0	9.844187537819238	9.980627837045969	10.224801109577639	10.264794148699671	9.938268276906175	10.0120942255795	10.164710657056727	10.363540402458263	10.258293523727865	9.83177100664303
23.0	9.79646478364594	9.96717311259716	10.355237902918853	10.209512138666685	9.954069898426464	9.968872627311562	10.139885032871836	10.389039189879789	10.270531960747933	9.848219344470653
24.0	9.732891217483024	9.965270936820575	10.32991750281052	10.135356659048377	9.954447275915507	9.946003021089723	10.092260401740358	10.39099525501863	10.214106817743861	9.88388131476879
25.0	9.731085729941464	9.915409408942375	10.293304041328591	10.133463356616184	9.95172790845104	9.912126005942497	10.009483497672816	10.34879815089096	10.189198446052508	9.836882070972768
26.0	9.709549660544047	10.026702809619012	10.297317001360444	10.025254096437141	9.984399973687214	9.918892369122336	9.969179302606499	10.292784386307368	10.1686337792407	9.779154770195978
27.0	9.717134950183777	9.986175905301298	10.240522959363961	10.011909421188458	9.954194588123336	9.928523451127875	9.949753192290117	10.243514937775252	10.12481250755094	9.776241338803937
28.0	9.680781828095682	9.975984017454971	10.223770389169118	10.034700338015874	9.925241472440282	9.955822368231715	9.98700590823703	10.304847357883505	10.133370118466082	9.752368796660328
29.0	9.659418377315305	9.975250468126005	10.2306308017938	10.001047984398213	9.854586212130437	9.956123390933751	9.968816444149684	10.260063430302461	10.065604256856316	9.713282443469447
30.0	9.684539157822027	9.935217066950914	10.21836291817158	10.019381771801367	9.8937518245224	9.92290775210047	9.975944713099597	10.249466128741547	9.998978965737882	9.693336408417084
