Photon Density 	W_0	Energy(mJ)
3.51778769752319	5.0	100.0080756
3.7552747910337225	6.0	100.00807559999997
2.6587896939385383	7.0	100.00807559999997
3.347119674677894	8.0	100.00807559999997
3.0179095825283366	9.0	100.00807559999997
4.187421673998524	10.0	100.0080756
2.8564043545789453	11.0	100.00807559999997
2.5804488419729954	12.0	100.00807559999997
3.7567209631011744	13.0	100.0080756
3.02155839133377	14.0	100.00807559999997
3.1169531679086337	15.0	100.00807559999997
3.251717254801039	16.0	100.00807559999997
3.211179442541246	17.0	100.0080756
2.9719502324528175	18.0	100.00807559999997
2.809739672188075	19.0	100.00807559999997
2.744015603527908	20.0	100.0080756
