Photon Density 	W_0	Energy(mJ)
2.58169495416332	5.0	100.0080756
2.3510596195577325	6.0	100.00807559999997
1.3848990827990362	7.0	100.00807559999997
2.1249733414425394	8.0	100.00807559999997
3.0378406140677794	9.0	100.00807559999997
2.04584380461746	10.0	100.0080756
1.9693074498332728	11.0	100.00807559999997
1.8096332104113868	12.0	100.00807559999997
2.532660342860761	13.0	100.0080756
1.6147724176139369	14.0	100.00807559999997
2.6056346020023655	15.0	100.00807559999997
2.089491217382254	16.0	100.00807559999997
2.330551935197984	17.0	100.0080756
2.286403343298653	18.0	100.00807559999997
1.9881285369135429	19.0	100.00807559999997
2.0785378685673175	20.0	100.0080756
