Photon Density 	SigmaT	Energy(GeV)
7.99673378017644	5.0	73375051.67660837
2.2932395900386364	10.0	73375051.67660837
1.018585265885353	15.0	73375051.67660835
0.7565141294317341	20.0	73375051.67660837
0.30296820116612344	25.0	73375051.67660834
0.2471882309964662	30.0	73375051.67660835
0.21349106792142566	35.0	73375051.67660835
0.15527858916711276	40.0	73375051.67660837
0.15344289404708944	45.0	73375051.67660835
0.108532286755352	50.0	73375051.67660834
