Photon Density 	W_0	Energy(mJ)
4.411061216862675	5.0	100.0080756
2.8387075178349868	6.0	100.00807559999997
4.096879989210164	7.0	100.00807559999997
5.5184363632568205	8.0	100.00807559999997
3.4043086537943283	9.0	100.00807559999997
3.6846853651391247	10.0	100.0080756
3.3522408571487956	11.0	100.00807559999997
3.608393652679611	12.0	100.00807559999997
2.935878408091822	13.0	100.0080756
4.042928952611622	14.0	100.00807559999997
3.7235904798802952	15.0	100.00807559999997
3.877995670631668	16.0	100.00807559999997
3.6382550946099816	17.0	100.0080756
3.2741599996146227	18.0	100.00807559999997
3.3466182861571125	19.0	100.00807559999997
3.366023116540653	20.0	100.0080756
